customer_tweet_id_x,customer_message,corrected_intent,customer_tweet_id_y,predicted_intent,confidence,system_decision,system_reason,best_similarity,generated_response,expected_decision,expected_reason,suggested_decision,suggested_reason,decision_match,correct
1108748,"My last package went missing while you people marked final status as ""Delivered"" It was a clear fraud and has happened with many known ones.",Delivered but Not Received,1108748,Delivered but Not Received,0.6506056,AUTO_HANDLE,Sufficient confidence and retrieval,0.6971824,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",ESCALATE,Message contains a sensitive or potentially legal issue.,ESCALATE,Message contains a sensitive or potentially legal issue.,True,False
1026974,Loosing hope that this will be delivered today 😩😩😩,Delivery Delay,1026974,Delivery Delay,0.27212226,ESCALATE,Low classification confidence,0.59276074,This request should be reviewed by a human support agent.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,True,False
445581,That the items 'should' be delivered today... Although the app still says 22-24?,Delivery Delay,445581,Delivery Delay,0.42535314,ESCALATE,Low classification confidence,0.63798094,This request should be reviewed by a human support agent.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,True,False
438710,"Everything, my redmi4a was supposed to be delivered on 9th , your courier service Hv excuse of we don't deliver to this area",Delivery Delay,438710,Delivered but Not Received,0.38982186,ESCALATE,Low classification confidence,0.6107892,This request should be reviewed by a human support agent.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,True,False
102904,Day 3# Day light Robbery by Amazon #Delivered Fake Bose Speakers #Not interested in replacing to orginal product # Solve my problem can't solve.They don't have power.,Wrong / Damaged / Defective Item,102904,Wrong / Damaged / Defective Item,0.55913645,AUTO_HANDLE,Sufficient confidence and retrieval,0.96795917,"I'm sorry that you received an incorrect or damaged item. Please check the return or replacement options available for the order. If you need further help, please contact Amazon support.",AUTO_HANDLE,Routine product issue that can be handled with return or replacement guidance.,AUTO_HANDLE,Routine product issue that can be handled with return or replacement guidance.,True,True
689491,your website says my parcel has been delivered and handed to me. It hasn’t. Please advise. I am sick of having to contact you because of terrible service.,Delivered but Not Received,689491,Delivered but Not Received,0.665759,AUTO_HANDLE,Sufficient confidence and retrieval,0.8324119,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,True,True
163482,We have ordered multiple products and some of the products didn't fit in as the description on the website was incorrect. So we returned it. Pickup guy collected all the product and got it delivered back to the respective sellers. Delivery team messed up 1/2,Return / Refund,163482,Wrong / Damaged / Defective Item,0.37868774,ESCALATE,Low classification confidence,0.96980023,This request should be reviewed by a human support agent.,AUTO_HANDLE,Routine return or refund request.,AUTO_HANDLE,Routine return or refund request.,True,False
584555,No birthday present for my grandson. Got a text saying delivered by 8pm. Yesterday. No delivery yet! Grrr,Delivery Delay,584555,Delivery Delay,0.4040518,ESCALATE,Low classification confidence,0.6482111,This request should be reviewed by a human support agent.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,True,False
861277,"I'm a little sad/frustrated that my #FEWarriorsmore than likely won't be delivered today because of ""weather"". Amazon let me down again. :/",Delivery Delay,861277,Delivery Delay,0.38213968,ESCALATE,Low classification confidence,0.6101332,This request should be reviewed by a human support agent.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,True,False
985101,as per estimated delivery time this order take approximately one month to delivered is it ok for a customer,Delivery Delay,985101,Delivery Delay,0.54983544,AUTO_HANDLE,Sufficient confidence and retrieval,0.63558006,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,AUTO_HANDLE,Routine delivery or tracking issue with a clear customer request.,True,True
